0x0132 Name: HEX_EXPIRED_INVITE                           flags: 0x502001A3
0x0133 Name: HEX_CAPTURE                                  flags: 0x5020013B
0x0134 Name: HEX_STEAL                                    flags: 0x5020012F
0x0135 Name: HEX_DEFEND                                   flags: 0x50200133
0x0136 Name: HEX_WITHDRAW                                 flags: 0x5020013C
0x0137 Name: HEX_GOTO_BATTLE                              flags: 0x50200135
0x0138 Name: HEX_LEAVE_BATTLE                             flags: 0x50000132
0x0139 Name: HEX_GET_ALL_ZONES                            flags: 0x50000139
0x013A Name: HEX_GET_ZONE_DATA                            flags: 0x014D
0x013B Name: HEX_CAMPAIGN_STATE                           flags: 0x01A7
0x013C Name: HEX_CHALLENGER_WON                           flags: 0x502001D9
0x013D Name: RAID_SELECT_HEX                              flags: 0x5020013A
0x013E Name: RAID_MAP_TOGGLE                              flags: 0x502001B3
0x013F Name: RAID_MOVE_PLAYER                             flags: 0x502001B7
0x0140 Name: RAID_PROMOTE_PLAYER                          flags: 0x502001B4
0x0141 Name: RAID_INITIATE_BASE_ATTACK                    flags: 0x0137
0x0142 Name: RAID_GET_BONUSES                             flags: 0x0130
0x0143 Name: RAID_REQUEST_PLAYER_TO_LAUNCH                flags: 0x0138
0x0144 Name: RAID_REQUEST_LAUNCH_EXPIRE                   flags: 0x01B5
0x0145 Name: RAID_END                                     flags: 0x01B6
0x0146 Name: RAID_CLOSE                                   flags: 0x0131
0x0147 Name: RAID_BASE_POINTS                             flags: 0x018E
0x0148 Name: RAID_OBJECTIVE_CAPTURED                      flags: 0x0134
0x0149 Name: RAID_PHASE_TRANSITION                        flags: 0x014B
0x014A Name: RAID_SET_CANDC                               flags: 0x01F2
0x014B Name: HEX_TERRITORY_BID_EVENT                      flags: 0x5020016F
0x014C Name: HEX_BID                                      flags: 0x50200136
0x014D Name: HEX_GET_AUCTION                              flags: 0x50200196
0x014E Name: ADD_STRIKE_FORCE_TEAM_ITEM                   flags: 0x502001E6
0x014F Name: REMOVE_STRIKE_FORCE_TEAM_ITEM                flags: 0x502001E7
0x0150 Name: UPDATE_STRIKE_FORCE_TEAM_ITEMS               flags: 0x01DA
0x0151 Name: SEND_HEX_INVENTORY_ITEMS                     flags: 0x200001D8
0x0152 Name: QUERY_PLAYERS                                flags: 0x012E
0x0153 Name: GET_ALL_BOT_SPAWN_TABLES                     flags: 0x01FE
0x0154 Name: LEAVE_INSTANCE                               flags: 0x01F8
0x0155 Name: SET_CURRENCY                                 flags: 0x100000A3
0x0156 Name: GET_MORPH_SETTINGS                           flags: 0x012A
0x0157 Name: MAP_RANDOMSM_SETTINGS                        flags: 0x60000058
0x0158 Name: GET_CHARACTER_AUCTION_SELL_ITEMS             flags: 0x60000129
0x0159 Name: GET_CHARACTER_AUCTION_BID_ITEMS              flags: 0x600001AA
0x015A Name: GET_AUCTION_ITEM                             flags: 0x6000019A
0x015B Name: GET_FILTERED_AUCTION_ITEMS                   flags: 0x600000AA
0x015C Name: ADD_AUCTION_ITEM                             flags: 0x60000197
0x015D Name: BID_AUCTION_ITEM                             flags: 0x0098
0x015E Name: LAUNCH_MAP_GAME                              flags: 0x0099
0x015F Name: GROUP_TICKET_REQUEST                         flags: 0x0097
0x0160 Name: GROUP_TICKET_CLEAR                           flags: 0x600000AB
0x0161 Name: CANCEL_AUCTION_ITEM                          flags: 0x6000015E
0x0162 Name: BUYOUT_AUCTION_ITEM                          flags: 0x60000154
0x0163 Name: EXPIRE_AUCTION_ITEM                          flags: 0x0111
0x0164 Name: GET_ALL_ACHIEVEMENT_SEGMENTS                 flags: 0x0095
0x0165 Name: GET_ALL_ACHIEVEMENT_GROUPS                   flags: 0x0094
0x0166 Name: GET_ALL_ACHIEVEMENTS                         flags: 0x0045
0x0167 Name: GET_ALL_ACHIEVEMENT_REQUIREMENTS             flags: 0x0109
0x0168 Name: GET_ALL_ACHIEVEMENT_UNLOCK_ITEMS             flags: 0x100001A0
0x0169 Name: GET_CHARACTER_MAILS                          flags: 0x10000195
0x016A Name: READ_MAIL                                    flags: 0x10000081
0x016B Name: DELETE_MAIL                                  flags: 0x100000F7
0x016C Name: ACCEPT_MAIL                                  flags: 0x10000157
0x016D Name: UPDATE_CHARACTER                             flags: 0x10000181
0x016E Name: GET_PVE_MISSIONS                             flags: 0x00F6
0x016F Name: HEX_TERRITORY_UNLOCK_EVENT                   flags: 0x019B
0x0170 Name: DROPPED_CHARACTER_LOOTS                      flags: 0x00E2
0x0171 Name: GET_ALL_WORLD_OBJECTS                        flags: 0x0183
0x0172 Name: GET_ALL_WORLD_OBJECT_RESOURCES               flags: 0x00E9
0x0173 Name: GET_ALL_OBJECTIVE_BOTS                       flags: 0x00E5
0x0174 Name: GET_ALL_OBJECTIVE_BOT_RESOURCES              flags: 0x00E4
0x0175 Name: RECALCULATE                                  flags: 0x300000E1
0x0176 Name: SEND_PLAYER_ACHIEVEMENTS                     flags: 0x00E8
0x0177 Name: PUSH_PLAYER_ACHIEVEMENT_NOTICE               flags: 0x01BA
0x0178 Name: ASM_GET_BLUEPRINTS                           flags: 0x00E3
0x0179 Name: ASM_GET_BLUEPRINT_ITEMS                      flags: 0x00E7
0x017A Name: ASM_GET_BLUEPRINT_ITEM_MODIFIERS             flags: 0x00E6
0x017B Name: ASM_GET_BLUEPRINT_MOD_EFFECT_GPS             flags: 0x00FE
0x017C Name: UPDATE_CURRENCY                              flags: 0x005D
0x017D Name: POST_AUCTION_ITEM                            flags: 0x01E2
0x017E Name: SEND_CHARACTER_EVENTS                        flags: 0x300001E9
0x017F Name: SEND_CHARACTER_CRAFTING_SKILLS               flags: 0x0096
0x0180 Name: ASM_GET_ALL_UI_VOLUMES                       flags: 0x0205
0x0181 Name: MAP_READY                                    flags: 0x00DF
0x0182 Name: SEND_INVENTORY                               flags: 0x01B2
0x0183 Name: MATCH_CHECK                                  flags: 0x019F
0x0184 Name: VOIP_CONFIG                                  flags: 0x01C4
0x0185 Name: GET_PRODUCTION_FLAIRS                        flags: 0x01C1
0x0186 Name: GET_ALL_PRODUCTION_FLAIR_RESOURCES           flags: 0x0200
0x0187 Name: GET_HARDCODED_RESOURCES                      flags: 0x1000008D
0x0188 Name: UPDATE_NEW_MAIL_COUNT                        flags: 0x006F
0x0189 Name: ASM_GET_ALL_TIPS                             flags: 0x0124
0x018A Name: GET_ALL_ITEM_PROPS                           flags: 0x10080093
0x018B Name: SEND_MAIL                                    flags: 0x50200070
0x018C Name: HEX_ADD_FACILITY                             flags: 0x50200071
0x018D Name: HEX_ADD_FACTORY_ITEM                         flags: 0x502001E8
